"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"COL","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.951405,
"COL","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.565158,
"COL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.475738,
"COL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.57644,
"COL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.790071,
"COL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.474358,
"COL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.385341,
"EA19","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.193216,
"EA19","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.411197,
"EA19","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.485911,
"EA19","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.198251,
"EA19","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.275798,
"EA19","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.03394,
"EA19","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.584715,
"EA19","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-12.109409,
"LTU","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.898113,
"LTU","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.997293,
"LTU","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.07685,
"LTU","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.873259,
"LTU","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.786913,
"LTU","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.060118,
"LTU","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.341558,
"LTU","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.099322,
"SAU","QGDP","TOT","PC_CHGPP","Q","2018-Q3",1.234423,"E"
"SAU","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.129821,"E"
"SAU","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-1.272942,"E"
"SAU","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.562315,"E"
"SAU","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.293885,
"SAU","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.170129,
"BGR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.98667,
"BGR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.814576,
"BGR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.984881,"P"
"BGR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.67436,"P"
"BGR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.663202,"P"
"BGR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.756941,"P"
"BGR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.288235,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2018-Q3",1.52353,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.621181,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.490449,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.634584,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.484255,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.208172,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.303601,"P"
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.256537,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.477366,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.541564,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.251331,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.324597,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.085697,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.17575,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-11.699983,
